Date,cost price
2022-01-03,0.0
2022-01-03,0.0
2022-01-06,0.0
2022-01-08,13.0
2022-01-08,-9.0
2022-01-09,9.0
2022-01-10,-68.0
2022-01-10,68.0
2022-01-10,0.0
2022-01-10,-13.0
2022-01-10,13.0
2022-01-10,0.0
2022-01-11,0.0
2022-01-12,0.0
2022-01-14,32.0
2022-01-14,-32.0
2022-01-14,-13.0
2022-01-15,13.0
2022-01-15,22.0
2022-01-18,-35.0
2022-01-19,13.0
2022-01-20,0.0
2022-01-20,0.0
2022-01-20,0.0
2022-01-20,0.0
2022-01-20,0.0
2022-01-21,32.0
2022-01-22,-32.0
2022-01-22,0.0
2022-01-22,0.0
2022-01-22,0.0
2022-01-22,0.0
2022-01-24,0.0
2022-01-24,0.0
2022-01-24,0.0
2022-01-24,0.0
2022-01-24,0.0
2022-01-25,0.0
2022-01-25,0.0
2022-02-01,27.0
2022-02-01,-27.0
2022-02-02,0.0
2022-02-03,0.0
2022-02-03,0.0
2022-02-05,0.0
2022-02-05,0.0
2022-02-07,0.0
2022-02-08,32.0
2022-02-08,-32.0
2022-02-08,0.0
2022-02-08,0.0
2022-02-08,32.0
2022-02-08,-32.0
2022-02-08,0.0
2022-02-09,0.0
2022-02-09,0.0
2022-02-10,0.0
2022-02-10,0.0
2022-02-10,27.0
2022-02-10,-27.0
2022-02-11,22.0
2022-02-13,-22.0
2022-02-13,22.0
2022-02-13,-22.0
2022-02-14,0.0
2022-02-14,0.0
2022-02-16,22.0
2022-02-16,-22.0
2022-02-17,22.0
2022-02-17,-22.0
2022-02-17,-13.0
2022-02-17,-68.0
2022-02-18,81.0
2022-02-18,32.0
2022-02-18,-10.0
2022-02-19,0.0
2022-02-19,-22.0
2022-02-21,22.0
2022-02-21,-22.0
2022-02-21,0.0
2022-02-22,22.0
2022-02-22,-22.0
2022-02-22,0.0
2022-02-22,0.0
2022-02-24,22.0
2022-02-24,0.0
2022-02-24,0.0
2022-02-24,0.0
2022-02-24,0.0
2022-02-27,0.0
2022-02-27,-22.0
2022-02-28,22.0
2022-02-28,0.0
2022-03-01,5.0
2022-03-01,-5.0
2022-03-01,0.0
2022-03-01,0.0
2022-03-01,0.0
2022-03-01,0.0
2022-03-02,-95.0
2022-03-03,95.0
2022-03-04,-22.0
2022-03-04,22.0
2022-03-04,0.0
2022-03-05,0.0
2022-03-05,-22.0
2022-03-05,22.0
2022-03-05,-22.0
2022-03-05,22.0
2022-03-05,5.0
2022-03-05,-5.0
2022-03-06,0.0
2022-03-07,0.0
2022-03-08,0.0
2022-03-09,0.0
