invoice_customer_payment_id,invoice_id,customer_payment_id,status,paid_amount
1,182,4197,1,1500.0
2,160,4197,1,3600.0
3,433,4232,1,5400.0
4,426,4232,1,600.0
5,152,4220,1,9800.0
6,161,4220,1,8200.0
7,312,4243,1,13500.0
8,34,4258,1,1200.0
9,163,4258,1,1300.0
10,195,4258,1,2150.0
11,220,4258,1,6900.0
12,222,4258,1,5700.0
13,232,4258,1,2600.0
14,244,4258,1,3650.0
15,275,4258,1,27000.0
16,287,4258,1,1500.0
17,298,4258,1,1300.0
18,307,4258,1,1700.0
19,344,4258,1,13550.0
20,363,4258,1,3295.0
21,447,4332,1,13285.0
22,666,4395,1,4865.0
23,667,4396,1,6740.0
24,669,4397,1,228000.0
25,670,4398,1,16750.0
26,671,4399,1,4300.0
27,673,4400,1,5750.0
28,674,4401,1,12500.0
29,675,4402,1,12500.0
30,681,4403,1,160.0
31,686,4404,1,18750.0
32,688,4405,1,550.0
33,691,4406,1,8200.0
34,694,4407,1,18500.0
35,695,4408,1,8000.0
36,696,4409,1,175.0
37,697,4410,1,35.0
38,698,4411,1,8000.0
39,699,4412,1,31000.0
40,700,4413,1,4600.0
41,708,4414,1,700.0
42,709,4415,1,975.0
43,710,4416,1,1300.0
44,711,4417,1,11280.0
45,712,4418,1,2700.0
46,713,4419,1,1530.0
47,715,4420,1,1650.0
48,717,4421,1,1650.0
49,718,4422,1,5400.0
50,719,4423,1,3500.0
51,720,4424,1,6110.0
52,721,4425,1,4900.0
53,722,4426,1,270.0
54,723,4427,1,4000.0
55,724,4428,1,1200.0
56,725,4429,1,90.0
57,726,4430,1,2800.0
58,727,4431,1,72850.0
59,729,4432,1,500.0
60,730,4433,1,5000.0
61,731,4434,1,16000.0
62,732,4435,1,8000.0
63,733,4436,1,29550.0
64,734,4437,1,340.0
65,735,4438,1,180.0
66,736,4439,1,1400.0
67,737,4440,1,1820.0
68,740,4441,1,15800.0
69,741,4442,1,765.0
70,742,4443,1,47400.0
71,743,4444,1,1000.0
72,744,4445,1,8200.0
73,745,4446,1,1650.0
74,747,4447,1,400.0
75,748,4448,1,6500.0
76,749,4449,1,600.0
77,750,4450,1,16400.0
78,751,4451,1,380.0
79,752,4452,1,650.0
80,753,4453,1,700.0
81,754,4454,1,1600.0
82,755,4455,1,1650.0
83,756,4456,1,2800.0
84,757,4457,1,600.0
85,758,4458,1,4000.0
86,759,4459,1,150.0
87,761,4460,1,2300.0
88,762,4461,1,1250.1
89,763,4462,1,340.0
90,765,4463,1,210.0
91,767,4464,1,600.0
92,770,4465,1,1300.0
93,771,4466,1,40.0
94,772,4467,1,3350.0
95,773,4468,1,1980.0
96,774,4469,1,175.0
97,775,4470,1,25.0
98,776,4471,1,800.0
99,777,4472,1,360.0
100,778,4473,1,1500.0
101,779,4474,1,3600.0
102,780,4475,1,220.0
103,781,4476,1,5000.0
104,782,4477,1,1750.0
105,783,4478,1,3900.0
106,784,4479,1,600.0
107,785,4480,1,600.0
108,786,4481,1,1760.0
109,787,4482,1,48600.0
110,788,4483,1,1750.0
111,792,4484,1,320.0
112,793,4485,1,200.0
113,794,4486,1,2560.0
114,795,4487,1,519000.0
115,796,4488,1,1000.0
116,797,4489,1,1900.0
117,800,4490,1,100.0
118,801,4491,1,200.0
119,802,4492,1,1500.0
120,803,4493,1,200.0
121,804,4494,1,180.0
122,805,4495,1,3200.0
123,809,4496,1,60.0
124,810,4497,1,180.0
125,811,4498,1,600.0
126,812,4499,1,1880.0
127,814,4500,1,1650.0
128,815,4501,1,150.0
129,817,4502,1,6000.0
130,818,4503,1,600.0
131,819,4504,1,280.0
132,820,4505,1,16411.5
133,821,4506,1,13000.0
134,822,4507,1,204.0
135,823,4508,1,1500.0
136,824,4509,1,200.0
137,825,4510,1,900.0
138,826,4511,1,400.0
139,827,4512,1,2300.0
140,828,4513,1,18200.0
141,829,4514,1,60.0
142,831,4515,1,200.0
143,832,4516,1,1650.0
144,833,4517,1,2842.5
145,834,4518,1,11631.0
146,835,4519,1,8200.0
147,836,4520,1,24332.0
148,837,4521,1,5000.0
149,838,4522,1,100.0
150,840,4523,1,450.0
151,842,4524,1,5000.0
152,843,4525,1,5000.0
153,844,4526,1,7600.0
154,845,4527,1,57800.0
155,846,4528,1,4900.0
156,847,4529,1,900.0
157,848,4530,1,180.0
158,849,4531,1,1340.0
159,850,4532,1,4300.0
160,851,4533,1,16400.0
161,852,4534,1,1850.0
162,853,4535,1,450.0
163,854,4536,1,1650.0
164,855,4537,1,8200.0
165,858,4538,1,500.0
166,859,4539,1,3500.0
167,860,4540,1,20000.0
168,861,4541,1,500.0
169,862,4542,1,450.0
170,863,4543,1,3210.0
171,865,4544,1,30.0
172,866,4545,1,151.5
173,867,4546,1,500.0
174,868,4547,1,90.0
175,871,4548,1,8800.0
176,872,4549,1,1150.0
177,873,4550,1,12480.0
178,874,4551,1,1360.0
179,875,4552,1,1900.0
180,876,4553,1,100.0
181,877,4554,1,130.0
182,878,4555,1,700.0
183,879,4556,1,2300.0
184,880,4557,1,21050.0
185,882,4558,1,280.0
186,885,4559,1,1050.0
187,886,4560,1,3950.0
188,888,4561,1,2100.0
189,889,4562,1,500.0
190,890,4563,1,530.0
191,891,4564,1,300.0
192,895,4565,1,3680.0
193,896,4566,1,100.0
194,897,4567,1,1400.0
195,898,4568,1,600.0
196,899,4569,1,2710.0
197,900,4570,1,5000.0
198,901,4571,1,6600.0
199,903,4572,1,750.0
200,904,4573,1,10700.0
201,905,4574,1,3950.0
202,907,4575,1,11000.0
203,908,4576,1,240.0
204,909,4577,1,200.0
205,910,4578,1,1700.0
206,911,4579,1,1080.0
207,912,4580,1,2170.0
208,914,4581,1,95.0
209,916,4582,1,30.0
210,917,4583,1,150.0
211,918,4584,1,2330.0
