image_id,url,name,type,status,created_at
1,http://xposapi.infortronix.com/uploads/xposcnbtools/products/0e23ecbb993407958575a6506308624516271074341198230582.jpg,0e23ecbb993407958575a6506308624516271074341198230582.jpg,image/jpeg,1,2021-07-24 11:47:14
2,http://xposapi.infortronix.com/uploads/xposcnbtools/products/7814ebdc0c83a392ff6b2f3a5ad68f7c1627107720966669447.jpg,7814ebdc0c83a392ff6b2f3a5ad68f7c1627107720966669447.jpg,image/jpeg,1,2021-07-24 11:52:00
3,http://xposapi.infortronix.com/uploads/xposcnbtools/products/fbdfc248aef16d7dc93ed266989b76971627107904485188514.jpg,fbdfc248aef16d7dc93ed266989b76971627107904485188514.jpg,image/jpeg,1,2021-07-24 11:55:04
4,http://xposapi.infortronix.com/uploads/xposcnbtools/products/d4a04c2546221798f4d6557308405c131627107937907756992.jpg,d4a04c2546221798f4d6557308405c131627107937907756992.jpg,image/jpeg,1,2021-07-24 11:55:37
5,http://xposapi.infortronix.com/uploads/xposcnbtools/products/b21dc70609f31e9831840ebfe9088ff816271079561859764437.jpg,b21dc70609f31e9831840ebfe9088ff816271079561859764437.jpg,image/jpeg,1,2021-07-24 11:55:56
6,http://xposapi.infortronix.com/uploads/xposcnbtools/products/72f8790c849cc82e9c2526f5c8e330d216271079811831844629.jpg,72f8790c849cc82e9c2526f5c8e330d216271079811831844629.jpg,image/jpeg,1,2021-07-24 11:56:21
7,http://xposapi.infortronix.com/uploads/xposcnbtools/products/eb7203b6e58719d8dfa4ad7be446bdf11627107998253539594.jpg,eb7203b6e58719d8dfa4ad7be446bdf11627107998253539594.jpg,image/jpeg,1,2021-07-24 11:56:38
8,http://xposapi.infortronix.com/uploads/xposcnbtools/products/0b2580a01d528d66126dbab6e3c2a28f16271081051047176417.jpg,0b2580a01d528d66126dbab6e3c2a28f16271081051047176417.jpg,image/jpeg,1,2021-07-24 11:58:25
9,http://xposapi.infortronix.com/uploads/xposcnbtools/products/49ea2c7ec53155bcb22e3aa7015c0c1f16271081321694073690.jpg,49ea2c7ec53155bcb22e3aa7015c0c1f16271081321694073690.jpg,image/jpeg,1,2021-07-24 11:58:52
10,http://xposapi.infortronix.com/uploads/xposcnbtools/products/5b7c69c6adf2b7c175c14217c7371a311627108154772086119.jpg,5b7c69c6adf2b7c175c14217c7371a311627108154772086119.jpg,image/jpeg,1,2021-07-24 11:59:14
