date,sales,temperature,marketing_spend,competitor_price,promotion,month,day_of_week,day_of_year,is_weekend,sales2
2018-01-01,61.53581611447577,21.351839148294165,46.00229488556943,79.76751709436721,0.0,1,0,1,0,43.04558714148111
2018-01-02,67.24871854289756,15.681485218154268,51.57145783702534,76.47012044982334,0.0,1,1,2,0,62.906186468644876
2018-01-03,68.45937250445564,17.05383402000256,49.97761883525819,77.61231191882838,1.0,1,2,3,0,79.99581824468544
2018-01-04,61.674646768085225,23.339899531593595,39.32566067039501,78.36122144579728,0.0,1,3,4,0,59.6068284512318
2018-01-05,63.95002065474981,21.82490703249455,37.409350885518066,76.34051674502895,0.0,1,4,5,0,57.828049533680826
2018-01-06,85.40950722802367,25.23081851077712,39.94684874002765,74.67905235350807,0.0,1,5,6,1,88.57929411128217
2018-01-07,80.93473177051551,21.500110539531303,42.76831561170607,74.89570444966267,0.0,1,6,7,1,68.143164371017
2018-01-08,68.72196743095733,19.199194405905295,53.66606247013805,75.8504148576755,0.0,1,0,8,0,55.88312000575059
2018-01-09,78.79753775993011,21.418401855083843,42.04282336479388,71.11656754903292,0.0,1,1,9,0,77.90341630688391
2018-01-10,72.26789865898778,17.716580397193013,67.46490631594622,73.66698207662888,0.0,1,2,10,0,68.75829607716554
2018-01-11,74.56464213111667,19.183625143431062,60.27151035893151,72.99463702516748,0.0,1,3,11,0,59.75851834989325
2018-01-12,59.6212953404592,25.74073264140269,58.08359549665708,70.68141020511274,0.0,1,4,12,0,68.10443213827014
2018-01-13,57.164963653609064,25.694929741438116,48.8034109752685,73.02947279776096,0.0,1,5,13,1,64.66035061329868
2018-01-14,60.64296231603697,24.417835549480714,65.14280735720484,73.330763199036,0.0,1,6,14,1,58.85252345516955
2018-01-15,43.71243439707594,18.416858927207844,47.81994368878876,76.09655659264871,0.0,1,0,15,0,47.68538401670369
2018-01-16,45.11951896016313,22.75508870020414,49.68738585845754,77.16763328897578,0.0,1,1,16,0,56.287590692205754
2018-01-17,53.358525045872966,20.40437269703143,51.69974539749269,77.3062226186309,0.0,1,2,17,0,69.25458172963172
2018-01-18,54.72319791719633,27.856836254572432,57.01823040543344,77.13545159773903,0.0,1,3,18,0,55.47830644094418
2018-01-19,79.33600218709623,22.82265196915653,56.369080790029855,78.24410453896436,0.0,1,4,19,0,82.0820864610488
2018-01-20,,21.561801793040818,45.24874721555397,77.50483679439749,0.0,1,5,20,1,
2018-01-21,40.668807515409476,25.152231989275972,44.670062805740464,75.92444977718462,0.0,1,6,21,1,57.261238187876394
2018-01-22,51.77098330241134,23.38467846214174,56.39902957152084,77.34804553363468,1.0,1,0,22,0,56.63278029912259
2018-01-23,59.55853468128163,29.997099873971216,57.152365838912324,77.19166757406408,0.0,1,1,23,0,52.567719136233556
2018-01-24,53.30397971361659,23.580518401051535,46.066488751771274,77.39921949149888,0.0,1,2,24,0,52.68779426753192
2018-01-25,71.96297161496805,21.8246350604157,34.128119303215456,79.70801818923314,0.0,1,3,25,0,73.80261478829411
2018-01-26,54.659234613835835,19.799163491912203,47.92683903991755,79.4948640643,0.0,1,4,26,0,76.446108013501
2018-01-27,51.390194488894736,26.39927438101622,56.23525798825859,79.55018871216859,0.0,1,5,27,1,51.132939910263524
2018-01-28,61.602372177766355,25.03764978453238,68.0541684641978,78.37338025365828,0.0,1,6,28,1,71.16953495971043
2018-01-29,64.37706175258326,22.666540244007585,38.02042037659338,79.31619110893907,0.0,1,0,29,0,61.78337872004067
2018-01-30,87.55429260781968,30.748686985504182,45.734287471694266,80.0500373788523,0.0,1,1,30,0,82.39269238433513
2018-01-31,85.64181948114943,29.408368694687383,46.10596438474624,81.8490857734908,0.0,1,2,31,0,95.10324112944052
2018-02-01,77.46033645657248,27.545410520969877,63.55805339431501,80.5983738108025,0.0,2,3,32,0,81.86516133380506
2018-02-02,87.82155866236187,31.944212842995853,49.65058499541367,79.652821181082,0.0,2,4,33,0,69.06209833624374
2018-02-03,82.56145232451655,30.05768567327033,40.92673440627735,81.25445492031884,0.0,2,5,34,1,72.06826638904568
2018-02-04,89.34498478089537,25.817961992959,55.58695282921819,81.69615818102861,0.0,2,6,35,1,95.10370279104035
2018-02-05,94.09199199228749,25.382865852394467,45.95361479959054,79.79891401959178,0.0,2,0,36,0,87.28317482088619
2018-02-06,81.31380977026255,31.165948735168598,37.75612726642046,82.42207645408119,0.0,2,1,37,0,65.43126564302514
2018-02-07,96.40432825936249,30.110001173813504,41.072266927238495,78.90407149457663,0.0,2,2,38,0,79.29350533181653
2018-02-08,81.06910003314388,29.63639635563888,67.3404195442262,80.5274374263753,0.0,2,3,39,0,83.78330525031242
2018-02-09,86.5521379329515,26.791207818006292,53.84209221649462,77.97064148306013,0.0,2,4,40,0,90.53059936524234
2018-02-10,50.21939885743993,31.355327214369925,51.07760055452543,81.84368644187818,0.0,2,5,41,1,55.33213221502969
2018-02-11,73.29389597186037,27.462946766122872,47.501062641879535,78.66230266597302,0.0,2,6,42,1,96.05886518966328
2018-02-12,,29.61855930985314,52.92148842118799,81.03368883641986,0.0,2,0,43,0,
2018-02-13,65.51564433420657,34.45748672165512,52.802359460024945,80.81873567457637,0.0,2,1,44,0,63.42614033761559
2018-02-14,70.35708339684396,28.323288800924566,52.92168828207326,80.04459375117005,0.0,2,2,45,0,61.092897896797325
2018-02-15,61.28097861634101,25.772907134556124,51.14845090277753,80.41315737654706,0.0,2,3,46,0,53.147841985048295
2018-02-16,66.4220186211869,27.51720775861629,58.687983383055496,81.65630018603534,0.0,2,4,47,0,69.84962623963452
2018-02-17,79.43493059421056,33.83755705450156,50.231043460007314,79.76468417207182,0.0,2,5,48,1,70.71668096681333
2018-02-18,77.94036226708641,31.795448756600408,40.220611644473614,78.14487451313109,0.0,2,6,49,1,91.29569112679474
2018-02-19,65.00561483025697,30.81794917938207,43.87577109099132,79.5368405177003,1.0,2,0,50,0,80.16704841035848
2018-02-20,68.30696781170137,29.847305711243727,30.20981306510288,76.14531258451608,0.0,2,1,51,0,74.14554294316324
2018-02-21,58.22808127095433,32.99730212591864,70.26817116042392,75.1695887689061,0.0,2,2,52,0,48.96969516009907
2018-02-22,47.55924898312758,29.157123213090962,58.62754591952687,81.49248323877967,0.0,2,3,53,0,46.56928556266526
2018-02-23,61.149786120540135,32.781181557279446,41.69929504870763,79.48183314766213,0.0,2,4,54,0,75.3616255417891
2018-02-24,74.24700040404774,29.826652616181278,47.181551506029,81.80334707379852,0.0,2,5,55,1,66.3422382848824
2018-02-25,60.17791661344471,29.480107729285255,43.631235257935664,80.54127818268095,0.0,2,6,56,1,73.34595896860654
2018-02-26,52.25110359574497,30.409685995061174,65.42547211374117,81.53230456314118,0.0,2,0,57,0,61.32181174736909
2018-02-27,55.03377250088185,31.34133705603523,35.80122835729071,82.76440071617655,0.0,2,1,58,0,59.04081959874917
2018-02-28,69.87414126887174,32.46278657671607,51.14476058818779,84.88409415073362,0.0,2,2,59,0,61.883570758855804
2018-03-01,56.55293253911547,33.45362375824626,48.914721574351525,84.23938178957138,0.0,3,3,60,0,58.64461434213331
