Date,cost price
2022-01-03,0.0
2022-01-03,0.0
2022-01-03,0.0
2022-01-06,0.0
2022-01-08,0.0
2022-01-08,2.0
2022-01-09,-2.0
2022-01-09,0.0
2022-01-09,0.0
2022-01-09,0.0
2022-01-10,0.0
2022-01-10,0.0
2022-01-10,0.0
2022-01-10,0.0
2022-01-10,0.0
2022-01-11,0.0
2022-01-11,1.0
2022-01-12,-1.0
2022-01-12,0.0
2022-01-12,0.0
2022-01-14,-5.0
2022-01-14,5.0
2022-01-14,0.0
2022-01-14,1.0
2022-01-14,0.0
2022-01-15,-1.0
2022-01-15,0.0
2022-01-15,0.0
2022-01-15,-5.0
2022-01-15,0.0
2022-01-18,0.0
2022-01-18,0.0
2022-01-19,0.0
2022-01-20,5.0
2022-01-20,0.0
2022-01-20,0.0
2022-01-21,0.0
2022-01-21,0.0
2022-01-21,0.0
2022-01-22,0.0
2022-01-22,0.0
2022-01-22,0.0
2022-01-23,0.0
2022-01-24,-5.0
2022-01-24,0.0
2022-01-24,5.0
2022-01-24,-5.0
2022-01-25,0.0
2022-01-25,0.0
2022-01-26,0.0
2022-01-26,0.0
2022-01-27,0.0
2022-01-27,0.0
2022-01-29,5.0
2022-01-30,0.0
2022-01-31,-5.0
2022-02-01,0.0
2022-02-01,0.0
2022-02-02,5.0
2022-02-03,-5.0
2022-02-03,0.0
2022-02-05,0.0
2022-02-05,0.0
2022-02-05,0.0
2022-02-05,0.0
2022-02-06,0.0
2022-02-07,0.0
2022-02-08,0.0
2022-02-08,0.0
2022-02-08,0.0
2022-02-08,0.0
2022-02-10,0.0
2022-02-10,0.0
2022-02-10,0.0
2022-02-11,0.0
2022-02-11,1.0
2022-02-11,-1.0
2022-02-12,0.0
2022-02-13,1.0
2022-02-13,0.0
2022-02-14,-1.0
2022-02-14,0.0
2022-02-14,0.0
2022-02-14,0.0
2022-02-16,0.0
2022-02-17,0.0
2022-02-17,0.0
2022-02-17,1.0
2022-02-18,0.0
2022-02-18,-1.0
2022-02-19,0.0
2022-02-19,0.0
2022-02-19,0.0
2022-02-20,1.0
2022-02-21,0.0
2022-02-21,-1.0
2022-02-21,1.0
2022-02-21,0.0
2022-02-22,-1.0
2022-02-22,0.0
2022-02-22,0.0
2022-02-22,0.0
2022-02-22,0.0
2022-02-23,0.0
2022-02-24,0.0
2022-02-24,0.0
2022-02-24,0.0
2022-02-24,0.0
2022-02-24,0.0
2022-02-25,0.0
2022-02-25,0.0
2022-02-27,0.0
2022-02-27,0.0
2022-02-27,0.0
2022-02-27,0.0
2022-02-28,0.0
