Date,selling price
2022-01-03,0.0
2022-01-03,0.0
2022-01-03,0.0
2022-01-06,6.0
2022-01-08,-6.0
2022-01-08,6.0
2022-01-09,-5.0
2022-01-09,-1.0
2022-01-09,6.0
2022-01-09,0.0
2022-01-10,-6.0
2022-01-10,6.0
2022-01-10,0.0
2022-01-10,-6.0
2022-01-10,1.0
2022-01-11,0.0
2022-01-11,8.0
2022-01-12,-8.0
2022-01-12,-1.0
2022-01-12,1.0
2022-01-14,-1.0
2022-01-14,0.0
2022-01-14,1.0
2022-01-14,8.0
2022-01-14,0.0
2022-01-15,-9.0
2022-01-15,1.0
2022-01-15,0.0
2022-01-15,0.0
2022-01-15,0.0
2022-01-18,5.0
2022-01-18,-6.0
2022-01-19,0.0
2022-01-20,0.0
2022-01-20,6.0
2022-01-20,0.0
2022-01-21,-6.0
2022-01-21,1.0
2022-01-21,5.0
2022-01-22,-6.0
2022-01-22,1.0
2022-01-22,5.0
2022-01-23,0.0
2022-01-24,0.0
2022-01-24,-5.0
2022-01-24,3.0
2022-01-24,-1.0
2022-01-25,-3.0
2022-01-25,0.0
2022-01-26,0.0
2022-01-26,1.0
2022-01-27,-1.0
2022-01-27,0.0
2022-01-29,0.0
2022-01-30,1.0
2022-01-31,0.0
2022-02-01,-1.0
2022-02-01,1.0
2022-02-02,5.0
2022-02-03,-5.0
2022-02-03,-1.0
2022-02-05,1.0
2022-02-05,0.0
2022-02-05,0.0
2022-02-05,0.0
2022-02-06,0.0
2022-02-07,0.0
2022-02-08,0.0
2022-02-08,0.0
2022-02-08,0.0
2022-02-08,0.0
2022-02-10,0.0
2022-02-10,0.0
2022-02-10,0.0
2022-02-11,5.0
2022-02-11,-5.0
2022-02-11,0.0
2022-02-12,0.0
2022-02-13,0.0
2022-02-13,0.0
2022-02-14,-1.0
2022-02-14,0.0
2022-02-14,1.0
2022-02-14,0.0
2022-02-16,0.0
2022-02-17,5.0
2022-02-17,-5.0
2022-02-17,-1.0
2022-02-18,1.0
2022-02-18,-1.0
2022-02-19,1.0
2022-02-19,5.0
2022-02-19,-5.0
2022-02-20,0.0
2022-02-21,5.0
2022-02-21,0.0
2022-02-21,0.0
2022-02-21,-5.0
2022-02-22,0.0
2022-02-22,-1.0
2022-02-22,6.0
2022-02-22,0.0
2022-02-22,0.0
2022-02-23,-7.0
2022-02-24,2.0
2022-02-24,5.0
2022-02-24,0.0
2022-02-24,-5.0
2022-02-24,0.0
2022-02-25,0.0
2022-02-25,0.0
2022-02-27,5.0
2022-02-27,-5.0
2022-02-27,0.0
2022-02-27,5.0
