Date,cost price
2022-01-03,0.0
2022-01-03,-125.0
2022-01-03,125.0
2022-01-03,0.0
2022-01-04,475.0
2022-01-05,-500.0
2022-01-07,0.0
2022-01-08,-100.0
2022-01-09,0.0
2022-01-09,600.0
2022-01-09,-500.0
2022-01-09,0.0
2022-01-09,-100.0
2022-01-10,0.0
2022-01-10,100.0
2022-01-10,0.0
2022-01-10,0.0
2022-01-11,500.0
2022-01-11,0.0
2022-01-12,-500.0
2022-01-12,0.0
2022-01-14,500.0
2022-01-14,-500.0
2022-01-14,0.0
2022-01-14,0.0
2022-01-15,-100.0
2022-01-15,100.0
2022-01-15,-100.0
2022-01-15,600.0
2022-01-15,0.0
2022-01-15,0.0
2022-01-15,-500.0
2022-01-15,500.0
2022-01-18,-210.0
2022-01-18,210.0
2022-01-19,-500.0
2022-01-19,-100.0
2022-01-20,0.0
2022-01-20,100.0
2022-01-20,0.0
2022-01-20,0.0
2022-01-21,500.0
2022-01-22,0.0
2022-01-22,-500.0
2022-01-22,0.0
2022-01-23,0.0
2022-01-24,500.0
2022-01-24,0.0
2022-01-24,-500.0
2022-01-24,500.0
2022-01-24,-500.0
2022-01-25,500.0
2022-01-26,-600.0
2022-01-26,0.0
2022-01-26,100.0
2022-01-26,0.0
2022-01-26,-100.0
2022-01-26,600.0
2022-01-27,-500.0
2022-01-29,0.0
2022-01-31,0.0
2022-01-31,0.0
2022-01-31,500.0
2022-01-31,100.0
2022-02-01,-700.0
2022-02-02,600.0
2022-02-03,0.0
2022-02-05,-475.0
2022-02-05,475.0
2022-02-05,-475.0
2022-02-05,-100.0
2022-02-08,350.0
2022-02-08,225.0
2022-02-08,-225.0
2022-02-08,225.0
2022-02-09,-650.0
2022-02-09,95.0
2022-02-09,80.0
2022-02-09,475.0
2022-02-09,0.0
2022-02-10,0.0
2022-02-10,-500.0
2022-02-10,275.0
2022-02-10,-330.0
2022-02-10,55.0
2022-02-11,500.0
2022-02-13,150.0
2022-02-13,-150.0
2022-02-14,-555.0
2022-02-14,0.0
2022-02-14,555.0
2022-02-14,0.0
2022-02-15,-500.0
2022-02-16,0.0
2022-02-17,180.0
2022-02-17,-180.0
2022-02-17,-55.0
2022-02-17,55.0
2022-02-18,500.0
2022-02-18,-555.0
2022-02-18,555.0
2022-02-18,0.0
2022-02-19,-500.0
2022-02-19,500.0
2022-02-19,-555.0
2022-02-19,55.0
2022-02-19,0.0
2022-02-20,180.0
2022-02-21,320.0
2022-02-21,-500.0
2022-02-22,-55.0
2022-02-22,555.0
2022-02-22,0.0
2022-02-22,150.0
2022-02-22,-150.0
2022-02-23,-555.0
2022-02-24,555.0
2022-02-24,-500.0
2022-02-24,-55.0
2022-02-24,0.0
2022-02-24,55.0
2022-02-25,-55.0
2022-02-25,235.0
2022-02-25,-235.0
2022-02-26,0.0
2022-02-27,555.0
2022-02-27,-500.0
2022-02-27,-55.0
2022-02-27,555.0
2022-02-27,0.0
2022-02-27,-555.0
2022-02-28,555.0
2022-02-28,0.0
2022-02-28,-500.0
2022-03-01,150.0
2022-03-01,350.0
2022-03-01,0.0
2022-03-01,0.0
2022-03-01,-350.0
2022-03-01,-205.0
2022-03-02,205.0
2022-03-05,350.0
2022-03-05,0.0
2022-03-05,0.0
2022-03-05,-555.0
2022-03-05,555.0
2022-03-05,0.0
2022-03-05,-320.0
2022-03-06,320.0
2022-03-07,-500.0
2022-03-07,-55.0
2022-03-08,555.0
2022-03-08,150.0
2022-03-09,-705.0
2022-03-09,605.0
2022-03-09,-50.0
2022-03-09,50.0
2022-03-09,-550.0
2022-03-09,0.0
2022-03-09,-55.0
2022-03-09,55.0
2022-03-09,550.0
2022-03-10,-550.0
2022-03-10,550.0
2022-03-10,-370.0
2022-03-10,370.0
2022-03-11,-550.0
2022-03-11,-55.0
2022-03-11,55.0
2022-03-11,550.0
2022-03-11,-605.0
2022-03-12,0.0
2022-03-12,55.0
2022-03-12,0.0
2022-03-12,0.0
